0.755859 -0.654735
0.92399 -0.382418
0.982297 0.187328
0.932133 0.362115
0.90655 0.422098
0.581881 0.813274
0.815063 0.579373
0.00451481 0.99999
-0.991597 -0.129366
-0.868676 0.49538
-0.0928561 0.99568
0.361098 0.932528
0.173155 0.984895
0.966416 0.256983
0.834299 -0.551313
0.932379 -0.361482
0.890853 -0.454292
0.841269 -0.540617
0.882103 -0.471056
0.471923 -0.88164
0.991892 0.127086
0.560841 0.827923
-0.574012 0.818847
-0.981966 0.189057
-0.556554 -0.830812
-0.187462 -0.982272
-0.111895 -0.99372
0.0873854 -0.996175
-0.296046 -0.955174
0.197535 -0.980296
0.0628702 -0.998022
-0.511247 -0.859434
0.693914 -0.720058
0.750374 -0.661014
