0             100.146
1              80.202
2               99.55
3              93.516
4              95.288
5              78.372
6               93.83
7              85.818
8              95.948
9               96.77
10              108.68
11             119.472
12              101.18
13             103.522
14              99.518
15              101.88
16               98.47
17               98.04
18              97.766
19              88.598
20               97.58
21             102.458
22                89.3
23              91.916
24               88.62
25              76.638
26              79.944
27               97.47
28             117.332
29             111.594
30             101.724
31               95.46
32               98.82
33              98.764
34             108.552
35             115.552
36              80.584
37             113.594
38              76.312
39              81.902
40              99.152
41              66.282
42             132.532
43             114.796
44              103.39
45              85.184
46              86.892
47              77.012
48             102.776
49             106.946
50                  89
51             104.614
52              108.36
53              96.176
54              85.756
55             108.706
56              81.848
57             109.406
58              106.52
59              97.994
60             111.272
61              113.46
62             104.164
63              95.044
64               90.36
65             104.608
66             107.918
67              80.858
68             118.402
69              88.108
70              89.702
71               80.46
72               96.02
73             101.604
74             101.424
75             111.292
76              101.82
77             104.498
78             120.748
79              85.146
80              87.564
81             115.312
82             126.274
83             110.282
84              99.764
85             107.588
86             107.752
87              124.98
88               90.26
89              93.344
90             114.934
91              99.678
92             110.518
93              89.902
94              95.996
95             120.688
96              87.274
97              97.922
98             112.418
99              89.336
